feature,importance
INTC_rsi14,0.0
INTC_macd,0.0
INTC_macd_signal,0.0
INTC_macd_hist,0.0
INTC_bb_upper,0.0
INTC_bb_middle,0.0
INTC_bb_lower,0.0
INTC_bb_position,0.0
INTC_bb_width,0.0
INTC_stochastic,0.0
INTC_mom_5,0.0
INTC_mom_10,0.0
INTC_mom_20,0.0
INTC_mom_60,0.0
INTC_mom_120,0.0
INTC_roc_10,0.0
INTC_roc_20,0.0
INTC_mom_acceleration,0.0
INTC_vol_5,0.0
INTC_vol_10,0.0
INTC_vol_20,0.0
INTC_vol_60,0.0
INTC_vol_parkinson,0.0
INTC_volvol_20,0.0
INTC_downside_vol_20,0.0
INTC_vol_asymmetry,0.0
INTC_dd_20,0.0
INTC_dd_60,0.0
INTC_dd_120,0.0
INTC_dd_252,0.0
INTC_days_since_high_60,0.0
INTC_days_since_high_120,0.0
INTC_sharpe_20,0.0
INTC_sharpe_60,0.0
INTC_sortino_20,0.0
INTC_sortino_60,0.0
INTC_calmar,0.0
INTC_ma_5_20_cross,0.0
INTC_ma_10_50_cross,0.0
INTC_ma_20_60_cross,0.0
INTC_ma_50_200_cross,0.0
INTC_adx_14,0.0
INTC_adx_28,0.0
INTC_trend_slope_20,0.0
INTC_trend_slope_60,0.0
INTC_skew_20,0.0
INTC_skew_60,0.0
INTC_kurt_20,0.0
INTC_kurt_60,0.0
INTC_autocorr_1,0.0
INTC_autocorr_5,0.0
INTC_autocorr_10,0.0
INTC_mkt_corr_20,0.0
INTC_mkt_corr_60,0.0
INTC_mkt_corr_120,0.0
INTC_beta_60,0.0
INTC_beta_120,0.0
INTC_rel_strength_20,0.0
INTC_rel_strength_60,0.0
INTC_rel_vol,0.0
ew_value,0.0
ew_vol_5,0.0
ew_vol_20,0.0
ew_vol_60,0.0
ew_ret_5,0.0
ew_ret_20,0.0
ew_ret_60,0.0
ew_dd_60,0.0
ew_dd_120,0.0
ew_dd_252,0.0
ew_sharpe_20,0.0
ew_sharpe_60,0.0
avg_correlation_60,0.0
regime_0,0.0
regime_1,0.0
regime_2,0.0
